"show-chosen-shop?","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"[reporter]","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1","[ cumulative-profit ] of retailer 0","[ market-share ] of retailer 0","[ price ] of retailer 0","[ cumulative-profit ] of retailer 1","[ market-share ] of retailer 1","[ price ] of retailer 1"
,"3340.3999999999755","51","36.4","3090.3999999999974","29","41.2","2947.9999999999786","44","36.4","3785.9999999999964","36","41.2","2851.3999999999824","44","36.4","4263.39999999999","36","41.2","3266.5999999999767","50","36.4","3425.3999999999965","30","41.2"
,"3365.999999999976","51","36.4","3168.799999999996","29","41.2","2992.7999999999793","44","36.4","3886.7999999999947","36","41.2","2902.599999999983","44","36.4","4330.5999999999885","36","41.2","3349.799999999978","50","36.4","3526.199999999995","30","41.2"
,"3666.79999999998","51","36.4","3415.199999999992","29","41.2","3229.5999999999826","44","36.4","4189.19999999999","36","41.2","3132.9999999999864","44","36.4","4666.599999999983","36","41.2","3586.5999999999813","50","36.4","3761.399999999991","30","41.2"
,"3666.79999999998","51","36.4","3415.199999999992","29","41.2","3229.5999999999826","44","36.4","4189.19999999999","36","41.2","3132.9999999999864","44","36.4","4666.599999999983","36","41.2","3586.5999999999813","50","36.4","3761.399999999991","30","41.2"
,"3737.199999999981","51","36.4","3459.9999999999914","29","41.2","3280.7999999999834","44","36.4","4256.399999999989","36","41.2","3196.9999999999873","44","36.4","4733.799999999982","36","41.2","3644.199999999982","50","36.4","3839.7999999999897","30","41.2"
,"3807.599999999982","51","36.4","3515.9999999999905","29","41.2","3344.7999999999843","44","36.4","4334.799999999987","36","41.2","3235.399999999988","44","36.4","4834.59999999998","36","41.2","3695.399999999983","50","36.4","3929.3999999999883","30","41.2"
,"3961.1999999999844","51","36.4","3706.3999999999874","29","41.2","3491.9999999999864","44","36.4","4569.999999999984","36","41.2","3401.79999999999","44","36.4","5092.199999999976","36","41.2","3906.599999999986","50","36.4","4130.999999999985","30","41.2"
,"3961.1999999999844","51","36.4","3706.3999999999874","29","41.2","3491.9999999999864","44","36.4","4569.999999999984","36","41.2","3401.79999999999","44","36.4","5092.199999999976","36","41.2","3906.599999999986","50","36.4","4130.999999999985","30","41.2"
,"4204.399999999978","51","36.4","3885.5999999999844","29","41.2","3677.599999999989","44","36.4","4805.19999999998","36","41.2","3580.9999999999927","44","36.4","5304.999999999973","36","41.2","4072.9999999999873","50","36.4","4343.799999999982","30","41.2"
,"4204.399999999978","51","36.4","3885.5999999999844","29","41.2","3677.599999999989","44","36.4","4805.19999999998","36","41.2","3580.9999999999927","44","36.4","5304.999999999973","36","41.2","4072.9999999999873","50","36.4","4343.799999999982","30","41.2"
