,"3811.9744338799987","41","42.60476638962689","3591.9087452399026","39","41.14276637885186","3811.9744338799987","41","42.60476638962689","3066.105318722023","39","41.51721363247606","2126.485579139683","41","36.04670988180324","3066.105318722023","39","41.51721363247606","1509.2679712827855","17","43.956554528558","2260.0417979377476","60","34.98346444039418","1509.2679712827855","17","43.956554528558","1171.7708015147975","38","33.491864989216644","1520.431142837618","42","35.717862848368036","1171.7708015147975","38","33.491864989216644"
,"3811.9744338799987","41","42.60476638962689","3591.9087452399026","39","41.14276637885186","3811.9744338799987","41","42.60476638962689","3066.105318722023","39","41.51721363247606","2126.485579139683","41","36.04670988180324","3066.105318722023","39","41.51721363247606","1509.2679712827855","20","43.956554528558","2260.0417979377476","60","34.98346444039418","1509.2679712827855","20","43.956554528558","1171.7708015147975","39","33.491864989216644","1520.431142837618","41","35.717862848368036","1171.7708015147975","39","33.491864989216644"
,"4139.6983600103","40","42.60476638962689","3892.7634374689005","39","41.14276637885186","4139.6983600103","40","42.60476638962689","3377.070086798872","39","41.42626411278723","2295.7934558301686","41","36.04670988180324","3377.070086798872","39","41.42626411278723","1662.790071096923","14","43.72855307772295","2474.3307688746927","60","34.98346444039418","1662.790071096923","14","43.72855307772295","1259.067426245211","39","33.41353091164348","1651.9419883500816","41","35.717862848368036","1259.067426245211","39","33.41353091164348"
,"4139.6983600103","41","42.60476638962689","3892.7634374689005","39","41.14276637885186","4139.6983600103","41","42.60476638962689","3377.070086798872","39","41.42626411278723","2295.7934558301686","41","36.04670988180324","3377.070086798872","39","41.42626411278723","1662.790071096923","21","43.72855307772295","2474.3307688746927","59","34.98346444039418","1662.790071096923","21","43.72855307772295","1259.067426245211","39","33.41353091164348","1651.9419883500816","41","35.717862848368036","1259.067426245211","39","33.41353091164348"
,"4265.74602390657","41","43.26694263074233","4037.6194003939736","39","41.07046881713053","4265.74602390657","41","43.26694263074233","3468.4801997011687","39","41.42626411278723","2404.6342337026235","41","36.04670988180324","3468.4801997011687","39","41.42626411278723","1758.8899426409844","20","43.72855307772295","2583.9669865633623","59","34.98346444039418","1758.8899426409844","20","43.72855307772295","1300.029797184932","39","33.41353091164348","1720.5563425304974","41","35.717862848368036","1300.029797184932","39","33.41353091164348"
,"4398.415450213991","39","43.26694263074233","4104.042213296758","40","41.07046881713053","4398.415450213991","39","43.26694263074233","3537.037784377891","39","41.42626411278723","2440.914492993442","41","36.04670988180324","3537.037784377891","39","41.42626411278723","1813.8041549518766","19","43.72855307772295","2618.851237646121","59","35.78022941832187","1813.8041549518766","19","43.72855307772295","1330.7515753897228","39","33.41353091164348","1743.4277939239694","41","35.717862848368036","1330.7515753897228","39","33.41353091164348"
,"4424.949335475475","40","43.26694263074233","4214.746901468066","40","41.07046881713053","4424.949335475475","40","43.26694263074233","3582.7428408290393","39","41.42626411278723","2513.4750115750785","41","36.04670988180324","3582.7428408290393","39","41.42626411278723","1882.446920340492","22","43.72855307772295","2682.4337612476634","57","35.78022941832187","1882.446920340492","22","43.72855307772295","1354.6462917712267","39","33.41353091164348","1766.2992453174413","41","35.717862848368036","1354.6462917712267","39","33.41353091164348"
,"4584.15264704438","39","43.26694263074233","4380.803933725029","40","41.07046881713053","4584.15264704438","39","43.26694263074233","3788.4155948592065","39","41.26380760145416","2573.942110393109","41","36.04670988180324","3788.4155948592065","39","41.26380760145416","1909.904026495938","23","43.72855307772295","2786.4778907774603","57","35.78022941832187","1909.904026495938","23","43.72855307772295","1402.4357245342346","39","33.41353091164348","1863.502913739697","41","35.717862848368036","1402.4357245342346","39","33.41353091164348"
,"4915.826212812931","38","43.26694263074233","4657.565654153301","40","41.07046881713053","4915.826212812931","38","43.26694263074233","4024.955554489743","39","41.26380760145416","2761.3901167290037","41","36.04670988180324","4024.955554489743","39","41.26380760145416","2157.017981894953","20","43.72855307772295","3011.9068380920203","57","35.78022941832187","2157.017981894953","20","43.72855307772295","1487.7739973253201","39","33.41353091164348","2000.7316221005287","41","35.717862848368036","1487.7739973253201","39","33.41353091164348"
,"4915.826212812931","40","43.26694263074233","4657.565654153301","40","41.07046881713053","4915.826212812931","40","43.26694263074233","4024.955554489743","39","41.26380760145416","2761.3901167290037","41","36.04670988180324","4024.955554489743","39","41.26380760145416","2157.017981894953","23","43.72855307772295","3011.9068380920203","57","35.78022941832187","2157.017981894953","23","43.72855307772295","1487.7739973253201","39","33.41353091164348","2000.7316221005287","41","35.717862848368036","1487.7739973253201","39","33.41353091164348"
,"4942.360098074415","40","43.26694263074233","4768.270342324609","40","41.07046881713053","4942.360098074415","40","43.26694263074233","4070.0107848955595","39","41.26380760145416","2833.9506353106403","41","36.04670988180324","4070.0107848955595","39","41.26380760145416","2225.6607472835685","22","43.72855307772295","3075.489361693563","57","35.78022941832187","2225.6607472835685","22","43.72855307772295","1511.668713706824","39","33.41353091164348","2023.603073494001","41","35.717862848368036","1511.668713706824","39","33.41353091164348"
,"5075.0295243818355","39","43.26694263074233","4834.6931552273945","40","41.07046881713053","5075.0295243818355","39","43.26694263074233","4137.593630504287","39","41.26380760145416","2870.2308946014587","41","36.04670988180324","4137.593630504287","39","41.26380760145416","2294.303512672184","21","43.72855307772295","3110.170738203495","57","35.78022941832187","2294.303512672184","21","43.72855307772295","1542.3904919116148","39","33.41353091164348","2046.4745248874729","41","35.717862848368036","1542.3904919116148","39","33.41353091164348"
,"5300.56754910445","40","43.49227581254963","5045.032062752881","40","41.53301727227751","5300.56754910445","40","43.49227581254963","4340.342167330469","39","41.22665904162045","2997.211802119323","41","36.04670988180324","4340.342167330469","39","41.22665904162045","2431.5890434494145","22","43.595166688780495","3295.138079589801","57","35.78022941832187","2431.5890434494145","22","43.595166688780495","1600.420517409553","39","33.23662699494498","2155.1139190064646","41","35.717862848368036","1600.420517409553","39","33.23662699494498"
,"5300.56754910445","40","43.49227581254963","5045.032062752881","40","41.53301727227751","5300.56754910445","40","43.49227581254963","4340.342167330469","39","41.22665904162045","2997.211802119323","41","36.04670988180324","4340.342167330469","39","41.22665904162045","2431.5890434494145","24","43.595166688780495","3295.138079589801","56","35.78022941832187","2431.5890434494145","24","43.595166688780495","1600.420517409553","39","33.23662699494498","2155.1139190064646","41","35.717862848368036","1600.420517409553","39","33.23662699494498"
,"5597.397616980538","37","43.49227581254963","5402.555598193496","40","41.53301727227751","5597.397616980538","37","43.49227581254963","4621.008643370975","39","41.22665904162045","3190.7065183370205","41","36.581366372769594","4621.008643370975","39","41.22665904162045","2649.111710469901","21","43.595166688780495","3497.4461092310726","56","35.78022941832187","2649.111710469901","21","43.595166688780495","1694.2827002629588","39","33.23662699494498","2303.778353064032","41","36.63540654970104","1694.2827002629588","39","33.23662699494498"
,"5597.397616980538","40","43.49227581254963","5402.555598193496","40","41.53301727227751","5597.397616980538","40","43.49227581254963","4621.008643370975","40","41.22665904162045","3190.7065183370205","40","36.581366372769594","4621.008643370975","40","41.22665904162045","2649.111710469901","24","43.595166688780495","3497.4461092310726","56","35.78022941832187","2649.111710469901","24","43.595166688780495","1694.2827002629588","41","33.23662699494498","2303.778353064032","39","36.63540654970104","1694.2827002629588","41","33.23662699494498"
,"5732.320375106033","40","43.49227581254963","5552.484822733109","40","41.53301727227751","5732.320375106033","40","43.49227581254963","4722.048574745557","40","41.22665904162045","3302.5897466741017","40","36.581366372769594","4722.048574745557","40","41.22665904162045","2757.8730439801443","23","43.595166688780495","3618.8309270158356","56","35.89891215340211","2757.8730439801443","23","43.595166688780495","1739.5954781921891","41","33.23662699494498","2370.1324185610442","39","36.63540654970104","1739.5954781921891","41","33.23662699494498"
,"5961.689063919373","39","43.49227581254963","5690.881030000443","40","41.53301727227751","5961.689063919373","39","43.49227581254963","4901.67511941148","40","41.544851523922716","3361.822044029027","40","36.581366372769594","4901.67511941148","40","41.544851523922716","2853.039210801607","22","43.595166688780495","3719.112433623675","56","35.89891215340211","2853.039210801607","22","43.595166688780495","1784.9082561214195","41","33.23662699494498","2443.1218906077575","39","36.63540654970104","1784.9082561214195","41","33.23662699494498"
,"5988.673615544472","40","43.49227581254963","5806.211202723222","40","41.53301727227751","5988.673615544472","40","43.49227581254963","4959.399377031092","40","41.544851523922716","3434.2170741294913","40","36.581366372769594","4959.399377031092","40","41.544851523922716","2921.015044245509","23","43.595166688780495","3784.0004673111002","56","35.89891215340211","2921.015044245509","23","43.595166688780495","1807.5646450860347","41","33.23662699494498","2469.6635168065623","39","36.63540654970104","1807.5646450860347","41","33.23662699494498"
,"5988.673615544472","40","43.49227581254963","5806.211202723222","40","41.53301727227751","5988.673615544472","40","43.49227581254963","4959.399377031092","40","41.544851523922716","3434.2170741294913","40","36.581366372769594","4959.399377031092","40","41.544851523922716","2921.015044245509","24","43.595166688780495","3784.0004673111002","56","35.89891215340211","2921.015044245509","24","43.595166688780495","1807.5646450860347","41","33.23662699494498","2469.6635168065623","39","36.63540654970104","1807.5646450860347","41","33.23662699494498"
