show-chosen-shop?,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,,TRUE,,,,,
[reporter],[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1,[ cumulative-profit ] of retailer 0,[ market-share ] of retailer 0,[ price ] of retailer 0,[ cumulative-profit ] of retailer 1,[ market-share ] of retailer 1,[ price ] of retailer 1
,647,32,35,2040,48,42.2,743,38,35,1907,42,42.2,719,39,35,1687.6,40,42.2,1042,43,37,1447,37,41.8,990,46,37,1411,34,41.8,1212,48,37,1422.4,32,41.8,1159,45,37,1635.4,35,41.8,1240,48,37,1351.6,32,41.8
,647,32,34,2040,48,42.2,743,38,34,1907,42,42.2,719,39,34,1687.6,41,42.2,1042,43,36,1447,37,41.8,990,46,36,1411,34,41.8,1212,48,36,1422.4,32,41.8,1159,45,36,1635.4,35,41.8,1240,48,36,1351.6,32,41.8
,751,32,34,2454.8,48,42.2,875,38,34,2321.8,42,42.2,843,39,34,2090.2,40,42.2,1264,43,36,1765.6,37,41.8,1188,46,36,1753.2,34,41.8,1446,48,36,1705.6,32,41.8,1381,45,36,1977.6,35,41.8,1468,48,36,1634.8,32,41.8
,751,32,34,2454.8,48,42.2,875,38,34,2321.8,42,42.2,843,39,34,2090.2,41,42.2,1264,43,36,1765.6,37,41.8,1188,46,36,1753.2,34,41.8,1446,48,36,1705.6,32,41.8,1381,45,36,1977.6,35,41.8,1468,48,36,1634.8,32,41.8
,787,32,34,2540.2,48,42.2,907,38,34,2456,42,42.2,867,39,34,2163.4,41,42.2,1318,43,36,1801,37,41.8,1218,46,36,1824,34,41.8,1518,48,36,1800,32,41.8,1447,45,36,2107.4,35,41.8,1546,48,36,1693.8,32,41.8
,835,32,34,2857.4,48,42.2,959,38,34,2590.2,42,42.2,939,39,34,2346.4,40,42.2,1414,43,36,2025.2,37,41.8,1344,46,36,1977.4,34,41.8,1620,48,36,1953.4,32,41.8,1567,45,36,2225.4,35,41.8,1660,48,36,1882.6,32,41.8
,891,32,34,3016,48,42.2,1039,38,34,2907.4,42,42.2,987,39,34,2553.8,40,42.2,1510,43,36,2155,37,41.8,1416,46,36,2119,34,41.8,1758,48,36,2118.6,32,41.8,1669,45,36,2473.2,35,41.8,1786,48,36,2012.4,32,41.8
,891,32,34,3016,48,42.2,1039,38,34,2907.4,42,42.2,987,39,34,2553.8,41,42.2,1510,43,36,2155,37,41.8,1416,46,36,2119,34,41.8,1758,48,36,2118.6,32,41.8,1669,45,36,2473.2,35,41.8,1786,48,36,2012.4,32,41.8
,975,32,34,3357.6,48,42.2,1123,38,34,3139.2,42,42.2,1087,39,34,2822.2,41,42.2,1690,43,36,2379.2,37,41.8,1572,46,36,2390.4,34,41.8,1926,48,36,2331,32,41.8,1855,45,36,2697.4,35,41.8,1966,48,36,2224.8,32,41.8
,975,32,34,3357.6,48,42.2,1123,38,34,3139.2,42,42.2,1087,39,34,2822.2,41,42.2,1690,43,36,2379.2,37,41.8,1572,46,36,2390.4,34,41.8,1926,48,36,2331,32,41.8,1855,45,36,2697.4,35,41.8,1966,48,36,2224.8,32,41.8
